AfterImages, PPO_learner, 1
AfterImages, PPO_learner, 2
AfterImages, PPO_learner, 3
AfterImages, PPO_learner, 4
AfterImages, A2C_learner, 0
AfterImages, A2C_learner, 1
AfterImages, A2C_learner, 2
AfterImages, A2C_learner, 3
AfterImages, A2C_learner, 4
SelfRecognition, RandomAgent, 0: Done
SelfRecognition, RandomAgent, 1: Done
SelfRecognition, RandomAgent, 2: Done
SelfRecognition, RandomAgent, 3: Done
SelfRecognition, RandomAgent, 4: Done
SelfRecognition, ConstantAgent, 0: Done
SelfRecognition, ConstantAgent, 1: Done
SelfRecognition, ConstantAgent, 2: Done
SelfRecognition, ConstantAgent, 3: Done
SelfRecognition, ConstantAgent, 4: Done
SelfRecognition, NaiveLearner, 0: Done
SelfRecognition, NaiveLearner, 1: Done
SelfRecognition, NaiveLearner, 2: Done
SelfRecognition, NaiveLearner, 3: Done
